,bclim11,bclim12,bclim14,bclim15,bclim18,bclim2,bclim3,bclim4,bclim6,bclim7,bclim8,bclim9
bclim11,1.0,0.3628620568620401,0.599232760606174,0.15059164084633703,0.3215813174805019,0.1573252743035164,0.08355360237439803,0.07931924204122152,0.7893660940849588,0.12781441074527047,0.8354578906487645,0.6794857267253056
bclim12,0.0,1.0,0.18027805738130115,0.5204030452596147,0.09707635440297403,0.31257652209613357,0.3546385370679529,0.7162390655004169,0.010687834737132505,0.7916497477373744,0.37083658401132863,0.25605544976251954
bclim14,0.0,0.0,1.0,0.6343414094991113,0.8318009511127112,0.35890294741519296,0.4956742502642141,0.3714155526745621,0.3486962460866147,0.0015473687259970434,0.35076597730459297,0.7440748076934574
bclim15,0.0,0.0,0.0,1.0,0.7144980181677483,0.018052301625034267,0.6238284109675206,0.818184483905401,0.21306729677186656,0.5725974322113818,0.07129371254969227,0.4620036850120007
bclim18,0.0,0.0,0.0,0.0,1.0,0.41365668394463795,0.5747333000239836,0.44320798235953657,0.05551429310974227,0.03206640240385783,0.09334012014324305,0.6849261051348409
bclim2,0.0,0.0,0.0,0.0,0.0,1.0,0.6061453356179927,0.004078172175818993,0.3494953961189035,0.60681298122984,0.045139882085859805,0.2717398707245619
bclim3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7466851185660733,0.1369880539576558,0.1828536640534505,0.1252410344330011,0.26677243091497255
bclim4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04518217802419475,0.738623196932296,0.26272623428646336,0.10748794119665332
bclim6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.304481519074696,0.6778041383875952,0.4620654458179713
bclim7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.19655310475050722,0.15069125062090516
bclim8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.506170728737392
bclim9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999998
